ICAO,FlightsPerWeekMAN,Name,IATA,YahooTicker,MarketCap20200307,GoodMatchYahoo,RIC,CO2Class
EZY,227,easyJet,U2,EZJ.L,"3,970,000,000",1,EZJ.L,3
RYR,209,Ryanair,FR,RYAAY,"13,921,000,000",1,RYA.I,3
EXS,115,Jet2.com,LS,DTG.L,"1,622,000,000",0,DTG.L,
DLH,52,Lufthansa,LH,LHA.DE,"5,487,000,000",1,LHAG.DE,2
BEE,51,Flybe,BE,,,0,FLYB.L^C19,
TOM,44,Thomsonfly,BY,TUI1.DE,"3,601,000,000",0.5,TUIGn.DE,1
SHT,39,British Airways Shuttle,,,,0,BAY.L^A11,
KLM,35,KLM Royal Dutch Airlines,KL,KLMR,"420,866,000",1,AIRF.PA,2
SAS,32,Scandinavian Airlines System,SK,SAS.ST,"3,587,000,000",1,SAS.ST,2
EIN,25,Aer Lingus,EI,IAG.VI,"9,859,000,000",0.5,ICAG.L,3
STK,23,Aeropac,,,,0,,
VIR,19,Virgin Atlantic Airways,VS,DAL,"29,374,000,000",0.5,,
AFR,18,Air France,AF,AF.PA,"2,440,000,000",1,AIRF.PA,2
QTR,18,Qatar Airways,QR,,,0,,
UAE,18,Emirates Airlines,AE,,,0,,
EWG,17,Eurowings,EW,LHA.DE,"5,487,000,000",0.5,LHAG.DE,2
BEL,17,,,,,0,,
AUR,13,Aurigny Air Services,GR,,,0,,
ETD,12,Etihad Airways,EY,,,0,,
SWR,12,Swiss International Airlines,LX,,,0,,
THY,12,Twin Town Leasing Company,,,,0,,
FIN,9,Finnair,,,,,FIA1S.HE,3
NAX,9,Norwegian Air Shuttle,,,,,,
SIA,8,Singapore Airlines,,,,,,
PIA,7,Pakistan International Airlines,,,,,,
ICE,6,Icelandair,,,,,,
OMA,6,Oman Air,,,,,,
PGT,6,Pegasus Airlines,,,,,,
TAP,6,TAP Portugal,,,,,,
UAL,6,United Airlines,,,,,,
VLG,6,Vueling Airlines,,,,,,
AAL,5,American Airlines,,,,,,
AUA,5,Austrian Airlines,,,,,,
EJU,5,,,,,,,
FDX,5,Federal Express,,,,,,
AWC,4,,,,,,,
ETH,4,,,,,,,
SVA,4,,,,,,,
BBC,3,,,,,,,
EMM,3,,,,,,,
ENT,3,,,,,,,
IBS,3,,,,,,,
CFE,2,,,,,,,
CPA,2,,,,,,,
ECA,2,,,,,,,
GCF,2,,,,,,,
JCL,2,,,,,,,
RAM,2,,,,,,,
TSC,2,,,,,,,
VCG,2,,,,,,,
AEE,1,,,,,,,
AOJ,1,,,,,,,
BZE,1,,,,,,,
CLF,1,,,,,,,
ENZ,1,,,,,,,
FHM,1,,,,,,,
GCH,1,,,,,,,
GDK,1,,,,,,,
GEF,1,,,,,,,
GMA,1,,,,,,,
HFM,1,,,,,,,
HHN,1,,,,,,,
HYR,1,,,,,,,
LXG,1,,,,,,,
MDM,1,,,,,,,
N15,1,,,,,,,
N18,1,,,,,,,
N19,1,,,,,,,
N67,1,,,,,,,
N70,1,,,,,,,
N91,1,,,,,,,
NJE,1,,,,,,,
SXN,1,,,,,,,
TOW,1,,,,,,,
(blank),1,,,,,,,